Aari1239,South Omotic,AHK,Aari-Gayil,,,,,,,,,,,,,,
Aari1240,,,,,,,,,,,,,,,,,
Ahte1237,Athapaskan-Eyak-Tlingit,Athapaskan-Eyak,Athapaskan,Northern Athapaskan,,,,,,,,,,,,,
Ahwa1235,Atlantic-Congo,Volta-Congo,Benue-Congo,Benue-Congo Plateau,,,,,,,,,,,,,
Aich1238,Tai-Kadai,Kam-Tai,Kam-Sui,Then-MMS,Maonan-Mak-Sui,Mak-Ai-Cham,,,,,,,,,,,
Aigh1235,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Western Oceanic linkage,North New Guinea linkage,Ngero-Vitiaz linkage,Vitiaz linkage,Southwest New Britain,Arawe-Pasismanua,Pasismanua,,,,
Aika1237,,,,,,,,,,,,,,,,,
Aikl1237,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Western Oceanic linkage,North New Guinea linkage,Ngero-Vitiaz linkage,Vitiaz linkage,Southwest New Britain,Arawe-Pasismanua,Arawe,West Arawe,,,
Aima1241,Indo-European,Indo-Iranian,Iranian,Western Iranian,Southwestern Iranian,Farsic-Caucasian Tat,Farsic,Eastern Farsic,,,,,,,,,
Aime1238,Bosavi,Bosavi Watershed,,,,,,,,,,,,,,,
Aimo1244,Sino-Tibetan,Kuki-Chin-Naga,Kuki-Chin,Old Kuki,Aimol-Syriem,,,,,,,,,,,,
Ainb1238,Border,Bewani,Pagi-Kilmeri,,,,,,,,,,,,,,
Ainu1240,,,,,,,,,,,,,,,,,
Ainu1251,Turkic,Common Turkic,Oghuz-Kipchak-Uyghur,Uyghur,Far East Yugur,,,,,,,,,,,,
Aiom1240,Lower Sepik-Ramu,Ramu,Annaberg,Aian,,,,,,,,,,,,,
Airo1242,Kwerbic,Kwerban,West Coast Kwerba,,,,,,,,,,,,,,
Aito1238,Tai-Kadai,Kam-Tai,Be-Tai,Daic,Central-Southwestern Tai,Wenma-Southwestern Tai,Sapa-Southwestern Tai,Southwestern Tai,Southwestern Tai P,Shan Tai,Assam Tai,,,,,,
Ajab1235,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Gbe,,,,,,,,,,,,,
Ajas1235,Kresh-Aja,,,,,,,,,,,,,,,,
Ajaw1236,Afro-Asiatic,Chadic,West Chadic,West Chadic B,West Chadic B B.2,,,,,,,,,,,,
Ajie1238,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Southern Melanesian,New Caledonian,Southern New Caledonian,Houailou,,,,,,,
Ajyi1238,Arawakan,Southern Maipuran,Pre-Andine,Asha-Ashe-Kak-Matsi-Nan,Asha-Ashe-Kak,Asha-Ashe,Asheninka,,,,,,,,,,
Akaa1242,Eastern Jebel,Aka-Kelo-Molo,,,,,,,,,,,,,,,
Akab1248,Great Andamanese,Central Great Andamanese,Northern Great Andamanese,Bo-Cari,,,,,,,,,,,,,
Akab1249,Great Andamanese,South Great Andamanese,,,,,,,,,,,,,,,
Akac1240,Great Andamanese,Central Great Andamanese,Northern Great Andamanese,Bo-Cari,,,,,,,,,,,,,
Akaj1239,Great Andamanese,Central Great Andamanese,Northern Great Andamanese,Jeru-Kora,,,,,,,,,,,,,
Akak1251,Great Andamanese,Central Great Andamanese,Northern Great Andamanese,Jeru-Kora,,,,,,,,,,,,,
Akak1252,Great Andamanese,Central Great Andamanese,Middle Great Andamanese,,,,,,,,,,,,,,
Akak1253,Great Andamanese,Central Great Andamanese,Middle Great Andamanese,Juwol-Kol,,,,,,,,,,,,,
Akan1250,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Potou-Tano,Tano,Central Tano,Akanic,,,,,,,,,
Akar1243,Great Andamanese,South Great Andamanese,,,,,,,,,,,,,,,
Akas1242,Atlantic-Congo,Volta-Congo,North Volta-Congo,Gur,Central Gur,Northern Central Gur,Bwamu-Oti-Volta,Oti-Volta,Nuclear Oti-Volta,Gurma-Yom-Oti-Volta Occidental,Gurma-Yom-Naudem,Gurma,Ntcham-Akaselem,,,,
Akaw1239,Cariban,Venezuelan,Pemong-Panare,Pemongan,Kapong,,,,,,,,,,,,
Akeb1238,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Ka-Togo,Kebu-Animere,,,,,,,,,,,,
Akee1238,Atlantic-Congo,Volta-Congo,Benue-Congo,Benue-Congo Plateau,Alumic,Jilic-Eggonic,Eggon-Ake,,,,,,,,,,
Akei1237,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,North and Central Vanuatu,Northern Vanuatu,Espiritu Santo,West Santo,,,,,,,
Akeu1235,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Loloish,Hani-Jino,Southern Loloish,Hanic,Ha-Ya,Akhaic,,,,,,,,
Akha1245,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Loloish,Hani-Jino,Southern Loloish,Hanic,Ha-Ya,Akhaic,,,,,,,,
Akhv1239,Nakh-Daghestanian,Daghestanian,Avar-Andic-Tsezic,Andic,,,,,,,,,,,,,
Akka1237,Uralic,Saami,Eastern Saami,Mainland Eastern Saami,,,,,,,,,,,,,
Akka1240,Afro-Asiatic,Semitic,East Semitic,,,,,,,,,,,,,,
Akkk1240,Sepik,Yellow River,,,,,,,,,,,,,,,
Akla1241,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Greater Central Philippine,Central Philippine,Bisayan,West Bisayan,Aklan,,,,,,,,,
Akol1237,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Western Oceanic linkage,North New Guinea linkage,Ngero-Vitiaz linkage,Vitiaz linkage,Southwest New Britain,Arawe-Pasismanua,Arawe,East Arawe,,,
Akoo1248,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,Bantu A-B10-B20-B30,Lundu-Balong (A.10),Lekongo-Manenguba,Ngoe,Manenguba,Central Manenguba,,,,,
Akoy1238,Angan,Southwest Angan,Tainae-Akoye,,,,,,,,,,,,,,
Akpa1238,Atlantic-Congo,Volta-Congo,Benue-Congo,Idomoid,Yatye-Akpa,,,,,,,,,,,,
Akpe1248,Atlantic-Congo,Volta-Congo,Benue-Congo,Akpes-Edoid,,,,,,,,,,,,,
Akpo1243,Atlantic-Congo,Volta-Congo,Benue-Congo,Benue-Congo Plateau,Alumic,Alumu-Toro,Alumu-Akpondu,,,,,,,,,,
Akru1241,Lower Sepik-Ramu,Ramu,Tamolan,Itutang-Midsivindi-Akrukai,,,,,,,,,,,,,
Akuk1235,Atlantic-Congo,Volta-Congo,Benue-Congo,Akpes-Edoid,Edoid,Northwestern Edoid,Southern Northwestern Edoid,Okpe-Akuku-Idesa,,,,,,,,,
Akum1238,Atlantic-Congo,Volta-Congo,Benue-Congo,Benue-Congo Plateau,Yukubenic,Akum-Beezen,,,,,,,,,,,
Akun1241,Tupian,Tuparic,Nuclear Tuparic,Akuntsu-Mekens,,,,,,,,,,,,,
Akur1238,Cariban,Guianan,Taranoan,Tiriyoan,,,,,,,,,,,,,
Akwa1248,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,Central-Western Bantu,Koyo-Mboshi,,,,,,,,,
Alab1237,Muskogean,Alabaman-Koasati,,,,,,,,,,,,,,,
Alab1246,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Greater Central Philippine,Central Philippine,Alabat-Manide Agta,,,,,,,,,,,
Alab1254,Afro-Asiatic,Cushitic,East Cushitic,Highland East Cushitic,Sidaama-Hadiyya-Kambaata,Hadiyya-Kambaata,Kambaataic,,,,,,,,,,
Alac1239,Kawesqar,,,,,,,,,,,,,,,,
Alac1240,Kawesqar,North Central Alacufan,,,,,,,,,,,,,,,
Alac1244,Otomanguean,Eastern Otomanguean,Amuzgo-Mixtecan,Mixtecan,Mixtec-Cuicatec,Mixtec,Guerrero Mixtec,,,,,,,,,,
Alag1242,Atlantic-Congo,Volta-Congo,Benue-Congo,Idomoid,Akweya,Etulo-Idoma,Nuclear Idoma,,,,,,,,,,
